,F12\BIT.DOC
B 951,FREE
B 952,FREE
B 953,FREE
B 954,FREE
B 955,FREE
B 956,FREE
B 957,FREE
B 958,FREE
B 959,FREE
B 960,FREE
B 961,FREE
B 962,FREE
B 963,FREE
B 964,FREE
B 965,FREE
B 966,FREE
B 967,FREE
B 968,FREE
B 969,FREE
B 970,FREE
B 971,FREE
B 972,FREE
B 973,FREE
B 974,FREE
B 975,FREE
B 976,FREE
B 977,FREE
B 978,FREE
B 979,FREE
B 980,FREE
B 981,FREE
B 982,FREE
B 983,FREE
B 984,FREE
B 985,FREE
B 986,FREE
B 987,FREE
B 988,FREE
B 989,FREE
B 990,FREE
B 991,FREE
B 992,FREE
B 993,FREE
B 994,FREE
B 995,FREE
B 996,FREE
B 997,FREE
B 998,FREE
B 999,FREE
B 1000,FREE
B 1001,HOPPER #1 AUGER MOTOR RUN           CONAIR BLENDER
B 1002,HOPPER #2 AUGER MOTOR RUN           AFTER B1001
B 1003,HOPPER #3 AUGER MOTOR RUN 
B 1004,HOPPER #4 AUGER MOTOR RUN 
B 1005,HOPPER #5 AUGER MOTOR RUN 
B 1006,
B 1007,
B 1008,
B 1009,
B 1010,
B 1011,HOPPER #1 CALLING RESIN
B 1012,HOPPER #2 CALLING RESIN
B 1013,HOPPER #3 CALLING RESIN
B 1014,HOPPER #4 CALLING RESIN
B 1015,HOPPER #5 CALLING RESIN
B 1016,MIXING  HOPPER  FULL 
B 1071,START SYSTEM FOR HOPPER #1
B 1072,START SYSTEM FOR HOPPER #2
B 1073,START SYSTEM FOR HOPPER #3
B 1074,START SYSTEM FOR HOPPER #4
B 1075,START SYSTEM FOR HOPPER #5
,
B 1100,START SYSTEM WHEN IS AUTO START
B 1101,AUTO START THE SYSTEM
B 1102,SYSTEM RUNNING MAX. SPEED
B 1103,SYSTEM RUNNING LINE SPEED
B 1104,SYSTEM RUNNING MIN. SPEED
B 1105,RUNNING LINE SPEED
B 1106,STOP SYSTEM
,
B 1111,HOPPER #1 IS FILLING
B 1112,HOPPER #2 IS FILLING
B 1113,HOPPER #3 IS FILLING
B 1114,HOPPER #4 IS FILLING
B 1115,HOPPER #5 IS FILLING
,
B 1121,HOPPER #1 IS CALLING RESIN WHILE OVER 100 LBS
B 1122,HOPPER #2 IS CALLING RESIN WHILE OVER 100 LBS
B 1123,HOPPER #3 IS CALLING RESIN WHILE OVER 100 LBS
B 1124,HOPPER #4 IS CALLING RESIN WHILE OVER 100 LBS
B 1125,HOPPER #5 IS CALLING RESIN WHILE OVER 100 LBS
,
B 1211,HOPPER #1 VACUUM VALVE OPEN
B 1212,HOPPER #1 DUMP VALVE OPEN
B 1213,HOPPER #2 VACUUM VALVE OPEN
B 1214,HOPPER #2 DUMP VALVE OPEN
B 1215,HOPPER #3 VACUUM VALVE OPEN
B 1216,HOPPER #3 DUMP VALVE OPEN
B 1217,HOPPER #4 VACUUM VALVE OPEN
B 1218,HOPPER #4 DUMP VALVE OPEN
B 1219,HOPPER #5 VACUUM VALVE OPEN
B 1220,HOPPER #5 DUMP VALVE OPEN
,
B 1400,HOPPER #1 IS CALLING RESIN
B 1401,HOPPER #2 IS CALLING RESIN
B 1402,HOPPER #3 IS CALLING RESIN
B 1403,HOPPER #4 IS CALLING RESIN
B 1404,HOPPER #5 IS CALLING RESIN
,
B 1410,HOPPER #1 IS CALLING RESIN
B 1411,HOPPER #2 IS CALLING RESIN
B 1412,HOPPER #3 IS CALLING RESIN
B 1413,HOPPER #4 IS CALLING RESIN
B 1414,HOPPER #5 IS CALLING RESIN
B 1415,TOP VIEW ALARM
,
B 1950,RUN SYSTEM
B 1990,CALIBRATION
,
,
,TEMPERATURE CONTROL 16 BIT
,
B 2000,"AUTO/MANU (MANU -> ""1"")"
B 2001,LOCKED
B 2002,ALARM H+ OR L- (TEMPERATURE CONTROL OUT OF RANGE)
B 2003,ALARM H
B 2004,ALARM L
B 2005,DEFECT MEASURE
B 2006,
B 2007,FAULT CONTROL LOOP
B 2008,
B 2009,SAMPLE TIME SELECT (60 OR 1)
B 2010,START CONTROL LOOP
B 2011,REVERSE CONTROL LOOP
B 2012,
B 2013,BIT OUTPUT 100;-100
B 2014,
B 2015,TEMPERATURE NO DEFECT (OK)
,
,
,
B 2200,AUTHORIZATION TO START SCREW AND ROTATING ARM
B 2201,OUTPUT % OF R200 IS >70% OR <45%
,
,
,
,
,
,
,
,
,
,
,
